,Related APIs,Category,Submitted,Meta_Url,Description,Repository,Languages,Provider,Asset URL
0,,"Content, Audio, Real Time, Video",10.30.2017,https://www.programmableweb.com/sdk/new-york-times-elemental-live-javascript-sdk, The New York Times Elemental Live JavaScript SDK supports interaction with the Elemental Live API. Its documentation provides the procedures for consuming the API.,,JavaScript,The New York Times,https://github.com/NYTimes/elemental-live-client
1,,Content,10.30.2017,https://www.programmableweb.com/sdk/new-york-times-react-tracking-javascript-sdk, New York Times React Tracking JavaScript SDK supports declarative tracking for React apps. It is a React-specific tracking platform that facilitates the compartmentalization of tracking concerns to individual components in a way that prevents leaking across the entire app.,https://github.com/NYTimes/react-tracking,JavaScript,The New York Times,https://libraries.io/github/NYTimes/react-tracking
2,,"Content, Video",10.30.2017,https://www.programmableweb.com/sdk/new-york-times-ios-360-videos-objective-c-sdk, The spherical 360˚ video playing functionality of the NYT360Video simplifies the exploration of video through pan gestures and the gyroscope feature of iOS devices. Users can play the video from a file or network stream through a standard AVPlayer instance. The NYT360Video Objective-C SDK allows developers to embed the 360˚ video playback functionality in iOS apps. Its deployment requires the onwards of iOS 8.,https://github.com/NYTimes/ios-360-videos,Objective-C,The New York Times,https://libraries.io/github/NYTimes/ios-360-videos
3,Google Play In-app Billing REST API,"Content, Billing",10.30.2017,https://www.programmableweb.com/sdk/new-york-times-register-java-sdk, The New York Times Register Java SDK allows developers to test In-App Billing of Google Play when building Android apps. Its documentation provides detailed procedures for installing and consuming the SDK.,,Java,The New York Times,https://github.com/NYTimes/Register
4,"ProPublica Campaign Finance REST API v1.0, New York Times Campaign Finance REST API","Content, Financial, Politics",10.30.2017,https://www.programmableweb.com/sdk/new-york-times-propublica-campaign-finance-ruby-sdk," New York Times ProPublica Campaign Finance Ruby SDK supports interaction with The New York Times Campaign Finance API. Its deployment requires an API key and testing under Ruby 1.9.3, 2.0.0, and 2.1.0. The SDK communicates with the ProPublica Campaign Finance API.",,Ruby,The New York Times,https://libraries.io/github/propublica/campaign_cash
5,,"Content, Data",10.30.2017,https://www.programmableweb.com/sdk/new-york-times-store-java-sdk," The New York Times Store Java SDK is an Android platform that supports reactive data loading. It makes it easier to fetch, parse, store, and recover data in apps.",,Java,The New York Times,https://libraries.io/github/NYTimes/Store
6,,"Content, Statistics",10.30.2017,https://www.programmableweb.com/sdk/new-york-times-gunsales-r-sdk, The New York Times Gunsales R SDK allows developers to integrate the functionality for analyzing NICS gun purchase background checks. The SDK generates summaries of background checks of gun purchases for The New York Times gun sales story. Its deployment requires R package seasonal for the seasonal adjustments.,,R,The New York Times,https://libraries.io/github/NYTimes/gunsales
7,,"Content, Video",10.30.2017,https://www.programmableweb.com/sdk/new-york-times-encoding-go-sdk, The New York Times Encoding Go SDK provides golang platform for implementing video encoding cloud concepts.,,Go,The New York Times,https://libraries.io/github/NYTimes/encoding-wrapper
8,New York Times Campaign Finance REST API,"Content, Financial, Politics",10.30.2017,https://www.programmableweb.com/sdk/new-york-times-fech-ruby-sdk," The Federal Election Commission provides electronic campaign finance filings by candidates, political parties, and political action committees. The New York Times Fech Ruby SDK provides a Ruby platform for parsing of the different categories of campaign finance filings. The SDK communicates with the New York Times Campaign Finance API.",,Ruby,The New York Times,https://libraries.io/github/NYTimes/Fech
9,The New York Times Archive REST API,"Content, Publishing",10.30.2017,https://www.programmableweb.com/sdk/new-york-times-style-guide-objective-c-sdk, The New York Times Style Guide Objective-C SDK provides outlines of the iOS coding conventions of The New York Times.,,Objective-C,The New York Times,https://libraries.io/github/NYTimes/objective-c-style-guide
