,Related APIs,Category,Submitted,Meta_Url,Description,Repository,Languages,Provider,Asset URL
0,Google Firebase APP Indexing REST API,"Applications, Application Development",12.21.2016,https://www.programmableweb.com/sdk/google-firebase4j-java-sdk-brandon-gresham, The Google Firebase4J Java SDK by Brandon Gresham provides a Java language platform for developing applications that communicate with Google Firebase APIs. It is a product of an independent developer and its development is currently on the alpha phase.,,Java,Independent Developer,https://github.com/bane73/firebase4j
1,"Google Firebase APP Indexing REST API, Google Firebase Cloud Messaging REST API v1.0, Google Firebase Database REST API","Applications, Application Development",12.21.2016,https://www.programmableweb.com/sdk/google-firebase-php-sdk-tamas-kalman, The Google Firebase PHP SDK by Tamas Kalman provides a PHP language platform for developing applications that communicate with Google Firebase APIs. It is a product of an independent developer.,,PHP,Independent Developer,https://github.com/ktamas77/firebase-php
2,"Google Firebase APP Indexing REST API, Google Firebase Cloud Messaging REST API v1.0, Google Firebase Database REST API","Applications, Application Development",12.21.2016,https://www.programmableweb.com/sdk/google-firebase-go-sdk-justin-tullos, The Google Firebase Go SDK by Justin Tullos provides a Go language platform for developing applications that communicate with Google Firebase APIs. It is a product of an independent developer.,,Go,Independent Developer,https://github.com/JustinTulloss/firebase
3,"Google Firebase APP Indexing REST API, Google Firebase Cloud Messaging REST API v1.0, Google Firebase Database REST API","Applications, Application Development",12.21.2016,https://www.programmableweb.com/sdk/google-firebase-go-sdk-steven-berlanga, The Google Firebase Go SDK by Steven Berlanga provides a Go language platform for developing applications that communicate with Google Firebase APIs. It is a product of an independent developer.,,Go,Independent Developer,https://github.com/zabawaba99/firego
4,Nitrado NITRAPI REST API,"Games, Hosting",12.21.2016,https://www.programmableweb.com/sdk/nitrado-nitrapi-swift-sdk-nitrado, The Nitrado NITRAPI Swift SDK offers integration with a hosting service for applications and games. The current version is 1.0.0.,,Swift,Nitrado,https://github.com/nitrado/Nitrapi-Swift
5,Nitrado NITRAPI REST API,"Games, Hosting",12.21.2016,https://www.programmableweb.com/sdk/nitrado-nitrapi-java-sdk-nitrado, The Nitrado NITRAPI Java SDK offers integration with a hosting service for applications and games.,,Java,Nitrado,https://github.com/nitrado/Nitrapi-Java
6,Nitrado NITRAPI REST API,"Games, Hosting",12.21.2016,https://www.programmableweb.com/sdk/nitrado-nitrapi-php-sdk-nitrado, The Nitrado NITRAPI PHP SDK offers integration with a hosting service for applications and games. The current version is 3.0.1.,,PHP,Nitrado,https://github.com/nitrado/Nitrapi-PHP
7,Grafana REST API,"Visualizations, Dashboards, Graphics",12.21.2016,https://www.programmableweb.com/sdk/grafana-go-sdk-grafana," SDK for Go language offers a library for interacting with Grafana server from Go applications. It realizes many of Grafana' HTTP REST API calls for administration, client, organizations. Beside of them it allows creating of Grafana objects (dashboards, panels, datasources) locally and manipulating them to construct dashboards programmatically. It may be helpful for massive operations on a large set of dashboards for example.",https://github.com/grafana-tools/sdk,Go,Grafana,http://docs.grafana.org/
8,"SMSAPI REST API, SMSAPI RPC API",Messaging,12.21.2016,https://www.programmableweb.com/sdk/smsapi-javascript-sdk-smsapi, The SMSAPI JavaScript SDK by SMSAPI can access the API to implement messaging features and manage a personal account. Installation and example available.,,JavaScript,SMSAPI,https://github.com/smsapicom/smsapicom-javascript-client
9,"SMSAPI REST API, SMSAPI RPC API",Messaging,12.21.2016,https://www.programmableweb.com/sdk/smsapi-python-sdk-smsapi, The SMSAPI Python SDK by SMSAPI communicates with the API to integrate messaging and manage an account. Backup server using example available.,,Python,SMSAPI,https://github.com/smsapicom/smsapicom-python-client
