,Related APIs,Category,Submitted,Meta_Url,Description,Repository,Languages,Provider,Asset URL
0,Atlassian Bitbucket REST API v1.0,"Cloud, Accounts, Applications, Collaboration, Tools",05.04.2020,https://www.programmableweb.com/sdk/atlassian-bitbucket-java-sdk-christopher-dancy, The Atlassian Bitbucket Java SDK by Christopher Dancy allows developers to integrate the Atlassian Bitbucket API into their Java applications. This SDK is built on top of jclouds.,,Java,Independent Developer,https://github.com/cdancy/bitbucket-rest
1,"Atlassian Bitbucket REST API v1.0, Atlassian Bitbucket REST API v2.0","Cloud, Accounts, Applications, Collaboration, Tools",05.04.2020,https://www.programmableweb.com/sdk/atlassian-bitbucket-laravel-php-sdk-graham-campbell," The Atlassian Bitbucket Laravel PHP SDK by Graham Campbell allows developers to integrate the Atlassian Bitbucket API into their applications built with Laravel, a PHP web framework. This SDK requires PHP 7.2-7.4 and supports Laravel 6-7.",,PHP,Independent Developer,https://github.com/GrahamCampbell/Laravel-Bitbucket
2,Atlassian Bitbucket REST API v2.0,"Cloud, Accounts, Applications, Collaboration, Tools",05.04.2020,https://www.programmableweb.com/sdk/atlassian-bitbucket-go-sdk-kotaro-yoshimatsu, The Atlassian Bitbucket Go SDK by Kotaro Yoshimatsu allows developers to integrate the Atlassian Bitbucket API into their Go applications.,,Go,Independent Developer,https://godoc.org/github.com/ktrysmt/go-bitbucket
3,"Atlassian Bitbucket REST API v1.0, Atlassian Bitbucket REST API v2.0","Cloud, Accounts, Applications, Collaboration, Tools",05.04.2020,https://www.programmableweb.com/sdk/atlassian-bitbucket-ruby-sdk-bitbucket-rest-api, The Atlassian Bitbucket Ruby SDK by bitbucket-rest-api is a gem that allows developers to integrate the Atlassian Bitbucket API into their Ruby applications.,https://rubygems.org/gems/bitbucket_rest_api,Ruby,Independent Developer,https://github.com/bitbucket-rest-api/bitbucket
4,COVID-19 Timeseries REST API v1.0,"COVID-19, Coronavirus, Data, Health",05.03.2020,https://www.programmableweb.com/sdk/covid-19-timeseries-ruby-sdk-everythings-cancelled, This Ruby SDK takes in a country or region and returns a JSON hash of the COVID-19 data for a given day. This package is available under the MIT License.,,Ruby,,https://github.com/everythings-cancelled/pomber_covid19
5,DataCite EZ Unspecified API v1.1,Data,05.02.2020,https://www.programmableweb.com/sdk/datacite-ez-php-sdk-robert-olendorf, The DataCite EZ PHP SDK by Robert Olendorf allows developers to integrate the DataCite EZ API into their PHP applications. This SDK is installed via Composer.,,PHP,Independent Developer,https://github.com/olendorf/ezid-php
6,DataCite EZ Unspecified API v1.1,Data,05.02.2020,https://www.programmableweb.com/sdk/datacite-ez-ruby-sdk-duke-university-libraries, The DataCite EZ Ruby SDK by Duke University Libraries is a gem that allows developers to integrate the DataCite EZ API into their Ruby applications.,https://rubygems.org/gems/ezid-client,Ruby,,https://github.com/duke-libraries/ezid-client
7,DataCite EZ Unspecified API v1.1,Data,05.02.2020,https://www.programmableweb.com/sdk/datacite-ez-python-cli-sdk, The DataCite EZ Python CLI SDK allows developers to access the DataCite EZ API using a Python-based command line interface.,,Python,DataCite,https://ezid.cdlib.org/doc/apidoc.html#python-command-line-tool
8,ChemSpider REST API v1.0,"Science, Chemistry, Reference",05.01.2020,https://www.programmableweb.com/sdk/chemspider-rest-javascript-sdk-cheminfo-js, The ChemSpider REST JavaScript SDK by cheminfo-js allows developers to access the ChemSpider REST API using JavaScript code.,,JavaScript,,https://cheminfo-js.github.io/chemspider-json-api/
9,ChemSpider REST API v1.0,"Science, Chemistry, Reference",05.01.2020,https://www.programmableweb.com/sdk/chemspider-rest-r-sdk-nivanorge, The ChemSpider REST R SDK by NIVANorge allows developers to integrate the ChemSpider REST API into their R applications.,,R,,https://github.com/NIVANorge/chemspiderapi
10,"Vericred REST API v4.0, Vericred REST API v6.0","Healthcare, Insurance, Medicine",04.30.2020,https://www.programmableweb.com/sdk/vericred-node-sdk," This SDK is a Node client for the Vericred API. The Vericred API returns health insurance data including medical plans, dental plans, vision plans, coverage, drugs, networks, and providers. Developers can authenticate the REST API with API Key to make GET requests that respond in JSON in return. Vericred provides health insurance data solutions.",https://github.com/vericred/vericred_node,Node.js,Vericred,https://docs.vericred.com
11,"Vericred REST API v4.0, Vericred REST API v6.0","Healthcare, Insurance, Medicine",04.30.2020,https://www.programmableweb.com/sdk/vericred-swift-sdk," This SDK is a Swift client for the Vericred API. The Vericred API returns health insurance data including medical plans, dental plans, vision plans, coverage, drugs, networks, and providers. Developers can authenticate the REST API with API Key to make GET requests that respond in JSON in return. Vericred provides health insurance data solutions.",https://github.com/vericred/vericred-swift,Swift,Vericred,https://docs.vericred.com
12,Jolocom Indirect API v1.0,"Blockchain, Identity",04.29.2020,https://www.programmableweb.com/sdk/jolocom-smartwallet-typescript-sdk," This TypeScript SDK enables a blockchain-based, identity management wallet in third parties. The latest version is 1.6.1.",,JavaScript,Jolocom,https://github.com/jolocom/smartwallet-app
13,Jolocom Indirect API v1.0,"Blockchain, Identity",04.29.2020,https://www.programmableweb.com/sdk/jolocom-identity-typescript-sdk, TypeScript SDK that enables interactions with the self-sovereign identity solution provided by Jolocom. The latest version is 4.1.0. This package is licensed under the very permissive MIT License.,,JavaScript,Jolocom,https://github.com/jolocom/jolocom-lib
14,Jolocom Indirect API v1.0,"Blockchain, Identity",04.29.2020,https://www.programmableweb.com/sdk/jolocom-typescript-sdk, TypeScript package that facilitates the management of digital identities. The latest version is 0.3.4.,,JavaScript,Jolocom,https://github.com/jolocom/jolocom-sdk
15,,"Business, Reporting, Software-as-a-Service",04.29.2020,https://www.programmableweb.com/sdk/flexera-usage-intelligence-objective-c-sdk," The Flexera Usage Intelligence Objective-C SDK interacts with the Web API, available without logging in a dashboard. The SDK assists in the integration of Usage Intelligence charts, live-data feeds, or reports into any third party CRM or custom application.",,Objective-C,Flexera,https://community.flexera.com/t5/Usage-Intelligence-Knowledge/Usage-Intelligence-SDK-download-links-and-API-documentation/ta-p/140516
16,EMBL-EBI ChEBI RPC API v2.0,"Science, Medical, Reference, Search",04.29.2020,https://www.programmableweb.com/sdk/embl-ebi-chebi-java-sdk, The EMBL-EBI ChEBI Java SDK allows developers to integrate the EMBL-EBI ChEBI API into their Java applications. This SDK requires Java version 1.5+.,,Java,EMBL-EBI,https://www.ebi.ac.uk/chebi/webServices.do
17,EMBL-EBI ChEBI RPC API v2.0,"Science, Medical, Reference, Search",04.29.2020,https://www.programmableweb.com/sdk/embl-ebi-chebi-perl-sdk, The EMBL-EBI ChEBI Perl SDK allows developers to integrate the EMBL-EBI ChEBI API into their Perl applications.,,PERL,EMBL-EBI,https://www.ebi.ac.uk/chebi/webServices.do
18,SuperTokens REST API v1.0,"Security, Management",04.28.2020,https://www.programmableweb.com/sdk/supertokens-swift-sdk, Swift package designed to maintain SuperTokens sessions in iOS applications. The latest version is 0.0.11.,,Swift,SuperTokens,https://github.com/supertokens/supertokens-ios
19,SuperTokens REST API v1.0,"Security, Management",04.28.2020,https://www.programmableweb.com/sdk/supertokens-go-sdk, This Go package integrates session management features with third parties. This SDK is capable of retrieving new refresh Tokens automatically.,,Go,SuperTokens,https://github.com/supertokens/supertokens-go
20,SuperTokens REST API v1.0,"Security, Management",04.28.2020,https://www.programmableweb.com/sdk/supertokens-react-sdk, React package designed to maintain SuperTokens sessions in mobile applications. This requires react-native 0.61.5+.,,JavaScript,SuperTokens,https://github.com/supertokens/supertokens-react-native
21,SuperTokens REST API v1.0,"Security, Management",04.28.2020,https://www.programmableweb.com/sdk/supertokens-nodejs-sdk, NodeJS package designed to interface between third-party server applications and the SuperTokens HTTP backend. The latest version is 1.0.1.,,Node.js,SuperTokens,https://github.com/supertokens/supertokens-node
22,SuperTokens REST API v1.0,"Security, Management",04.28.2020,https://www.programmableweb.com/sdk/supertokens-core-android-sdk, Core Android package designed to bring essential Token modules to third parties. The latest version is 2.0.0.,,Java,SuperTokens,https://github.com/supertokens/supertokens-core
23,SuperTokens REST API v1.0,"Security, Management",04.28.2020,https://www.programmableweb.com/sdk/supertokens-android-sdk, Android package that integrates session management with third parties. The latest version is 0.1.11. This SDK is capable of retrieving new refresh Tokens automatically.,,Java,SuperTokens,https://github.com/supertokens/supertokens-android
24,,"Genealogy, DNA, Family",04.28.2020,https://www.programmableweb.com/sdk/wikitree-javascript-sdk," The WikiTree JavaScript SDK interacts with the WikiTree API functions. With the API, developers can access relatives, ancestors, person, and DNA profiles data from a genealogy database. Still in development.",,JavaScript,Interesting,https://github.com/wikitree/wikitree-javascript-sdk
25,Hoverfly REST API v1.0,"Tools, API, Testing",04.28.2020,https://www.programmableweb.com/sdk/hoverfly-java-sdk," This SDK is a Java binding for Hoverfly. Hoverfly was designed to create a dependency sandbox that is a simulated development and test environment. It is a lightweight open source API simulation tool that allows you to create realistic simulations of APIs. The Hoverfly API utilizes GET, PUT, POST and DELETE parameters to get all simulation data, puts the simulation into Hoverfly, appends the simulation, unsets the simulation data and more. Hoverfly is built by SpectoLabs, and they provide API simulations for development and testing.",https://github.com/SpectoLabs/hoverfly-java,Java,Hoverfly,https://docs.hoverfly.io
