,Description,Category,Submitted,Meta_Url,Related APIs,Categories,URL,Company,App Type
25,Create personalized T-Shirts with your own coded messages.,eCommerce,10.05.2006,https://www.programmableweb.com/mashup/cogteeth.com,Zazzle,"eCommerce, Customization",http://cogteeth.com,,
26,A Google Maps and Hellenic National Tourist Organization mashup with information about mountain refuges in Greece. With links to tourist site details.,Mapping,10.04.2006,https://www.programmableweb.com/mashup/mountain-refuges-greece,Google Maps,"Mapping, Travel, Sports, Greek",http://www.freewebs.com/katafigia/index_en.htm,,
27,"Music mashup that allows searching of data from Amazon, news from Yahoo, and blogs via Technorati.",Blogging,10.04.2006,https://www.programmableweb.com/mashup/musiclovr,"Flickr, Technorati, Amazon Product Advertising, YouTube, Yahoo Video Search, Yahoo Image Search","Blogging, Music, eCommerce, News Services",http://www.musiclovr.com,,
28,"Dagbladet.no uses Google Maps, global geocoding, ajax and global geocoded weather forecast for this experimental weather service.",Weather,10.04.2006,https://www.programmableweb.com/mashup/global-weather-service,Google Maps,"Weather, Mapping",http://www.dagbladet.no/vaer/,,
29,"Search for activities, things to do, recommended eating and cheap lodging for any city in the US. Search from your WAP capable phone.",Travel,10.03.2006,https://www.programmableweb.com/mashup/411sync-travel,411Sync,"Travel, Mobile, Messaging",http://www.411sync.com/cgi-bin/travel.pl,,
30,"The Amazon API and RSSBus combined to create a wishlist widget. With this widget, not only will people buy you things, but you can get paid when they do.",eCommerce,10.03.2006,https://www.programmableweb.com/mashup/amzwish,Amazon Product Advertising,"eCommerce, Lists, Blogging",http://www.widgetbox.com/widget/AmzWish,,
31,GIS Jobs Clearinghouse and Google Maps comes together in GIS Jobs Listing Map. This map was developed by terra IMS in collaboration with the GIS Jobs Clearinghouse. Terra IMS geocodes job listings and displays them on a Google Map.,Jobs,10.03.2006,https://www.programmableweb.com/mashup/gis-jobs-map,Google Maps,"Jobs, Mapping",http://www.gjc.org/map.html,,
32,The latest web buzz on Premiership football.,News Services,10.03.2006,https://www.programmableweb.com/mashup/squadinfo.com,ClearForest Semantic Web Services1,"News Services, Video, Sports, Sports, Photos, England",http://squadinfo.com,,
33,"A map mashup for the Gold Coast of Queensland Australia, showing accommodation and attractions. Simple application using custom icons, single xml file, selectable grouping. Aims are to build the map content via user submission to the forum on the site.",Australian,10.03.2006,https://www.programmableweb.com/mashup/gold-coast-map,Google Maps,"Australian, Travel, Mapping",http://www.goldcoastchat.com.au/maps/,,
34,"Uses Google to find out how popular and sexy celebrities are, and shows images from Yahoo Image Search API. Finds celebrities which are similar in popularity and sexiness. Warning: not always safe for work.",Celebrities,10.02.2006,https://www.programmableweb.com/mashup/celebrity-ranker,"Google Search, Yahoo Image Search","Celebrities, Photos, Search",http://www.gpeters.com/celeb/celebrity-ranker.php,,
35,"The Sky Clock shows what is happening along the ecliptic in the sky over your head right now. Specifically, it shows you where to find the Sun, the Moon, the five planets visible to the naked eye, and four bright stars that happen to travel near them.",Astronomy,10.02.2006,https://www.programmableweb.com/mashup/sky-clock,,"Astronomy, Reference, Science",http://www.starchamber.com/skyclock/,,
36,"Event tickets website. Can view eBay listings on interactive seating maps, and have events that you cannot attend flagged via the Google Calendar API.",Events,10.02.2006,https://www.programmableweb.com/mashup/seatsnapper,"eBay, Google Calendar, Google Base","Events, Sports",http://www.seatsnapper.com,,
37,Local search resource for travellers. Enter your location and type of business or address. Covers wide variety of locations.,Mapping,10.01.2006,https://www.programmableweb.com/mashup/boomtrek,Google Maps,"Mapping, Travel, Search",http://www.boomtrek.com,,
38,Official Yahoo Map widget for Yahoo Widgets.,Widgets,09.30.2006,https://www.programmableweb.com/mashup/yahoo-maps-widget,"Yahoo Maps, Yahoo Widgets","Widgets, Mapping",http://widgets.yahoo.com/widgets/yahoo-maps,,
39,"A combination of ""Hot or Not"" with funny dance videos.",Video,09.30.2006,https://www.programmableweb.com/mashup/we-cant-dance,YouTube,"Video, Sports, Humor",http://wecantdance.com/,,
40,Forbes list of the most Trusted Celebrieties in American. Mapped with links to Google Videos.,Mapping,09.29.2006,https://www.programmableweb.com/mashup/most-trusted-celebrities,Google Maps,"Mapping, Video, Celebrities, Movies",http://www.mibazaar.com/2006/09/10-most-trusted-celebrities-in-america.html,,
41,See the Forbes Magazine list of the Drunkest Cities in America mapped.,Mapping,09.29.2006,https://www.programmableweb.com/mashup/drunkest-cities-america,Google Maps,"Mapping, Food, Bars",http://www.mibazaar.com/2006/09/americas-drunkest-cities-on-google.html,,
42,"RinkAtlas provides door-to-door directions to ice rinks in North America. The database currently includes over 1,800 ice hockey and figure skating facilities in the 50 U.S. states and Puerto Rico. Rinks in Canada will be added in the future.",Mapping,09.29.2006,https://www.programmableweb.com/mashup/rinkatlas,Google Maps,"Mapping, Search, Sports, Sports",http://www.rinkatlas.com/,,
43,This features the ecological datasets of the Partnership for Interdisciplinary Studies of Coastal Oceans. Users can pick an organism and see its distribution and abundance. Users can also view survey site metadata and species lists.,Science,09.29.2006,https://www.programmableweb.com/mashup/pisco-ecological-data-products-map,Google Maps,"Science, Mapping, Environment",http://www.piscoweb.org/data/access-and-applications,,
44,"This mashup uses the Amazon API to give reviews and ratings on thousands of products organized into handy categories ranging from computers, electronics and home goods.",eCommerce,09.27.2006,https://www.programmableweb.com/mashup/mr.-rebates-product-research,Amazon Product Advertising,"eCommerce, Search",http://www.mrrebates.com/,,
45,"Database with dive centers, dive boats, dive shops around the world.",Sports,09.27.2006,https://www.programmableweb.com/mashup/divecenters.net,Google Maps,"Sports, Travel, Sports, Mapping",http://www.dive-centers.net/,,
46,Maps all of the timeshare resorts in Orlando with their contact details.,Mapping,09.27.2006,https://www.programmableweb.com/mashup/orlando-timeshares-map,Google Maps,"Mapping, Real Estate",http://www.orlandotimeshareguide.com/resorts-map/,,
47,"Ask Vox is a community question and answer website, where users teach Vox, the website character, to answer questions with voice.",Q&A,09.26.2006,https://www.programmableweb.com/mashup/ask-vox,Yahoo Answers,"Q&amp;A, Reference",http://www.askvox.com,,
48,"Contextualizing and situating the list of prisons and the human rights abuses in Tunisia. Mashup of database data with Google Maps, YouTube, Flash animations and Yahoo Q Beta search.",Video,09.26.2006,https://www.programmableweb.com/mashup/tunisian-prison-map,"Google Maps, YouTube","Video, Government, Mapping",http://nawaat.org/tunisianprisonersmap/,,
49,"Ever found yourself listening to a song in a restaurant or a club or at any place and don not have access to a PC. You can find out details of the song right away. SMS a few words from the track and we will get back with track, album and artist.",Music,09.26.2006,https://www.programmableweb.com/mashup/search-rhapsody-phone,"411Sync, Rhapsody","Music, Messaging, Search, Mobile",http://www.411sync.com/cgi-bin/search_api?query=rhapsody%20i%20believe%20in%20miracles,,
50,"GuruLib is an attempt to help organize home libraries. GuruLib fetches all cataloging information such as author and actor list, synopsis, genre, front cover etc. Either via Amazon database or from over 530 public or university libraries around the world.",Library,09.25.2006,https://www.programmableweb.com/mashup/gurulib,Amazon Product Advertising,"Library, Video, Books",http://www.gurulib.com,,
51,Earth Album is a google maps and YouTube mash-up that allows you to tour the videospace of the world via YouTube tags.,Mapping,09.24.2006,https://www.programmableweb.com/mashup/youtube-earth-album,"Google Maps, YouTube","Mapping, Video",http://www.earthalbum.com/youtube,,
52,"An education search tool which enables you to search by: Location, Career, Industry/Salary and provides personalized searches to save for future reference.
Utilizes Flickr, Google Maps and YouTube.",Mapping,09.24.2006,https://www.programmableweb.com/mashup/educationsearch.net,"Flickr, Google Maps, YouTube","Mapping, Education, Search, Education, Photos, Video",http://EducationSearch.Net,,
53,Scenes From the City is a great mashup. Find the locations of iconic Made in NY films with the Yahoo Map made for the 40th Anniversary of the Mayors Office of Film. Lots of ways to search including director and scene type.,Celebrities,09.23.2006,https://www.programmableweb.com/mashup/nyc-movie-locations,Yahoo Maps,"Celebrities, TV, Movies, New York City, Mapping",http://www.nyc.gov/html/film/html/anniversary/interactive_map.shtml,,
54,Use maps to locate professionals and vendors to help organize and provide services for a wedding. You can also create a personal Wedding Atlas to share important information about a bridal party.,Weddings,09.22.2006,https://www.programmableweb.com/mashup/great-wedding-network,Google Maps,"Weddings, Mapping",http://www.greatweddingnetwork.com,,
55,Google Gadget that lets you run Google Map searches directly from your Google homepage.,Search,09.22.2006,https://www.programmableweb.com/mashup/google-map-search-gadget,"Google Maps, Google Gadgets","Search, Mapping, Widgets",http://www.google.com/ig/directory?url=www.google.com/ig/modules/mapsearch.xml,,
56,"This web application called the StainedGlass Collage, first detect region of interest in your digital photo and then organize them similar to laying out a stained glass window. It also allow user to download and upload images directly to Flickr site.",Art,09.21.2006,https://www.programmableweb.com/mashup/stainedglass-collage,Flickr,"Art, Photos",http://www.stainedglasscollage.com,,
57,Search San Francisco Bay Area real estate listings on a map. Currently tracking over 36000+ listings in 157 cities in the bay area.,Real Estate,09.21.2006,https://www.programmableweb.com/mashup/property-listing-maps,Google Maps,"Real Estate, Mapping",http://propertylistingmaps.com,,
58,Creative on-demand print service that lets you turn your Flickr photos from virtual content into physical content like all new Mini Cards.,Photos,09.20.2006,https://www.programmableweb.com/mashup/moo-flickr,Flickr,Photos,http://us.moo.com/,,
59,Chinese business mashup for the UK. Around 6000 Chinese businesses listed and mapped.,Chinese,09.19.2006,https://www.programmableweb.com/mashup/total-chinese-uk,Google Maps,"Chinese, Mapping, England",http://www.totalchinese.co.uk,,
