,Description,Published,Meta_Url,Languages,Provider,Asset URL,Repository,Terms Of Service
0," The Dropwizard framework aims to provide the development of ops-friendly, high-performance, RESTful web services. The framework aims to pull together stable, mature libraries from the Java ecosystem into a simple, light-weight package. Dropwizard has features such as support for configuration, application metrics, logging, operational tools, and much more.",03.15.2016,https://www.programmableweb.com/framework/dropwizard-java-framework-dropwizard,Java,Yammer,http://www.dropwizard.io/0.9.1/docs/,https://github.com/dropwizard/dropwizard,
1, The Netty framework's goal is to provide a NIO client server framework which enables quick development of network applications such as protocol servers and clients. It aims to greatly simplify and streamline network programming such as TCP and UDP socket server.,03.10.2016,https://www.programmableweb.com/framework/netty-java-framework-netty-project,Java,The Netty Project,http://netty.io/,https://github.com/netty/netty,
2," Vert.x is a tool-kit framework that aims to provide reactive web applications on the JVM. It has a variety of language options such as Java, Groovy, Ruby and JavaScript.",03.10.2016,https://www.programmableweb.com/framework/vert.x-ruby-framework-vert.x,Ruby,Independent Developer,http://vertx.io/,https://github.com/vert-x3/vertx-examples/,
3," Vert.x is a tool-kit framework that aims to provide reactive web applications on the JVM. It has a variety of language options such as Java, Groovy, Ruby and JavaScript.",03.10.2016,https://www.programmableweb.com/framework/vert.x-javascript-framework-vert.x,JavaScript,Independent Developer,http://vertx.io/,https://github.com/vert-x3/vertx-examples/,
4," The Derive4j framework's goal is to provide a Java 8 annotation processor and framework for deriving algebraic data types constructors, pattern-matching, morphisms, (near future: optics and typeclasses).",03.10.2016,https://www.programmableweb.com/framework/derive4j-java-framework-derive4j,Java,Independent Developer,https://github.com/derive4j/derive4j,,
5," The Checker Framework aims to enhance Java’s type system to make it more powerful and useful. This allows for software developers to detect and prevent errors in Java programs. The Checker Framework intends to include compiler plug-ins (""checkers"") that find bugs or verify.",03.10.2016,https://www.programmableweb.com/framework/checker-java-framework-checker,Java,Independent Developer,http://checkerframework.org/,https://github.com/typetools/checker-framework/,
6, The Axon framework's goal is focused on creating a java application based on the CQRS principles. The framework in intended to be used in many of environments and offer full scalability.,03.10.2016,https://www.programmableweb.com/framework/axon-java-framework-axon,Java,Axon Framework,http://www.axonframework.org/,https://github.com/AxonFramework/AxonFramework,
7," Vert.x is a tool-kit framework that aims to provide reactive web applications on the JVM. It has a variety of language options such as Java, Groovy, Ruby and JavaScript.",03.10.2016,https://www.programmableweb.com/framework/vert.x-java-framework-vert.x,Java,Independent Developer,http://vertx.io/,https://github.com/vert-x3/vertx-examples/,
8," HK2 is a light-weight and dynamic dependency injection framework. Some of the things that can be done with HK2 are custom lifecycles and scopes, events, AOP and other proxies, custom injection resolution, and more.",03.10.2016,https://www.programmableweb.com/framework/hk2-java-framework-oracle,Java,Oracle,https://hk2.java.net/2.4.0-b34/,,
9," The Guice framework intends to alleviate the need for factories in Java code. The frameworks still allows for the need to write factories in some cases, but code will not depend directly on them to promote ease of use.",03.10.2016,https://www.programmableweb.com/framework/guice-java-framework-google,Java,Google,https://github.com/google/guice,,
10," The Dagger 2 framework intends to provide a compile-time evolution approach to dependency injection. The frameworks aims to eliminate all reflection, and improve code clarity by removing the traditional ObjectGraph/Injector in favor of user-specified Component interfaces.",03.10.2016,https://www.programmableweb.com/framework/dagger-2-javascript-framework-google,JavaScript,Google,https://github.com/google/dagger,,
11, Apache DeltaSpike is framework library that intends to provide a collection of portable CDI extensions. It provides ready-to-use modules that can enable developers to integrate tested API extensions into Java projects.,03.10.2016,https://www.programmableweb.com/framework/deltaspike-java-framework-apache,Java,Apache Software Foundation,https://deltaspike.apache.org/,,
12," Singularity is a web application that aims to provide a platform for running and scheduling Apache Mesos tasks including long running processes, scheduled jobs, and one-off tasks.",03.10.2016,https://www.programmableweb.com/framework/singularity-java-framework-hubspot,Java,HubSpot,http://getsingularity.com/,https://github.com/HubSpot/Singularity,
13," Apache Aurora is a framework that aims to provide a service scheduler that runs on top of Apache Mesos, enabling developers to run long-running services that take advantage of Apache Mesos’ scalability, fault-tolerance, and resource isolation.",03.10.2016,https://www.programmableweb.com/framework/aurora-java-framework-apache,Java,Apache Software Foundation,http://aurora.apache.org/,,
14, Orika is a Java Bean mapping framework that aims to recursively copies data from one object to another. It is intended to be useful when developing multi-layered applications.,03.10.2016,https://www.programmableweb.com/framework/orika-java-framework-orika-mapper,Java,Independent Developer,http://orika-mapper.github.io/orika-docs/,https://github.com/orika-mapper/orika,
15, Hibernate is an open source Java ORM framework that aims to provide data query and retrieval facilities that intends to reduce development time. The goal of the framework is to avoid the boilerplate code caused by using JDBC and SQL.,03.10.2016,https://www.programmableweb.com/framework/hibernate-javascript-framework-mallikarjun-sannapyati,JavaScript,Independent Developer,https://hibernate-framework.zeef.com/mallikarjun.sannapyati,,
16, Spring framework is an open source application framework that intends to provide key features such as the “IOC (Inversion Of Control) and AOP (Aspect Oriented Programming)”. The Framework aims to be a comprehensive programming and configuration model for modern Java-based “enterprise applications.”,03.10.2016,https://www.programmableweb.com/framework/spring-java-framework-amaresh-agasimundina,Java,Independent Developer,https://springframework.zeef.com/amaresh.agasimundina,,
17," The goal of the Tryton Python Framework is to provide functionalities for a complete application framework. It's features include data persistence, extensive modularity, users management (authentication, fine grained control for data access, handling of concurrent access of resources), workflow and report engines, web services and internationalisation.",03.10.2016,https://www.programmableweb.com/framework/tryton-python-framework-tryton,Python,Tryton,http://www.tryton.org/,https://code.google.com/p/tryton/wiki/HowtoContribute,
