,Description,Published,Meta_Url,Languages,Provider,Asset URL,Repository,Terms Of Service
0," The LazyBone framework, written in JavaScript, intends to provide a platform to write simple lisp code and generating code for both client-side and server-side. The framework aims to provide features such as: Generating javascript code dynamically, built upon Backbone.js for the client as well as HTML dynamically with html-template. and provide some continuation-based syntax, which is natural in web application development in addition to other features.",06.13.2016,https://www.programmableweb.com/framework/lazy-bone-javescript-framework-break-yang,JavaScript,Independent Developer,https://github.com/breakds/lazy-bone,,
1," BroadStreet framework aims to provide developers with an HTML5, Backbone.js and JQuery Control Set for mobile applications.",06.13.2016,https://www.programmableweb.com/framework/broad-street-javascript-framework-kris-range,JavaScript,Independent Developer,https://github.com/DarrenHurst/BroadStreet,,
2," The Cerebral framework/library is meant to extend the base functionality of Backbone.js and intended to provide robust patterns of modularity, module loading, unloading and loosely coupled module communication through a pub-sub application core.",06.13.2016,https://www.programmableweb.com/framework/cerebral-javascript-framework-j%C3%B8rn-andre-tangen,JavaScript,Independent Developer,https://github.com/gorillatron/cerebral,,
3, The Chalice JavaScript Framework intends to be a smaller framework that works on top of CoffeeScript Backbone and Node to render apps on the client and server side of applications.,06.13.2016,https://www.programmableweb.com/framework/chalice-javascript-framework-shane,JavaScript,Independent Developer,https://github.com/shanejonas/chalice,,
4, The Capsule JavaScript frameworks aims to be an experimental web framework for Node.js that intends to use Socket.io and Backbone.js to synchronize model state by sharing model code between the client and the server.,06.13.2016,https://www.programmableweb.com/framework/capsule-javascript-framework-henrik-joreteg,JavaScript,Independent Developer,https://github.com/HenrikJoreteg/Capsule,,
5," The Tres JavaScript frameworks aims to offer an implementation of a Backbone.js pattern, with the intention to simplify application development by giving views control over animations on the screen.",06.13.2016,https://www.programmableweb.com/framework/tres-javascript-framework-julio-ceasar,JavaScript,Independent Developer,https://github.com/juliocesar/tres,,
6, Singool intends to be a lightweight JavaScript framework for developing single-page web applications,06.13.2016,https://www.programmableweb.com/framework/singool.js-javascript-framework-fahad-ibnay-heylaal,JavaScript,Independent Developer,http://fahad19.github.io/singool/,https://github.com/fahad19/singool,
7," The Crossref Python SDK by Scott Chamberlain communicates with the API to access reference search features. It includes documentation, installation, and usage.",06.07.2016,https://www.programmableweb.com/framework/crossref-python-sdk-scott-chamberlain,Python,Independent Developer,http://blog.crossref.org/2016/03/python-and-ruby-libraries-for-accessing-the-crossref-api.html,https://github.com/sckott/habanero,
8," The Scoop.it PHP framework by zenria can access the API to integrate content features into emails, blogs, and social media. Instructions explain how to install cURL and copy configuration sample.",05.31.2016,https://www.programmableweb.com/framework/scoop.it-php-framework-zenria,PHP,Independent Developer,https://github.com/vdemay/Scoopit-PHP,,
9," The Scoop.it Java Framework by Vincent Demay interacts with the API to integrate content features into emails, blogs, and social media. Resources include installation and usage.",05.31.2016,https://www.programmableweb.com/framework/scoop.it-java-framework-vincent-demay,Java,Independent Developer,https://github.com/vdemay/Scoopit-Java,,
10," The Scoop.it iOS Framework by Vincent Demay can access the API to integrate content features into emails, blogs, and social media. Visual resources explain how to create a project using the framework.",05.31.2016,https://www.programmableweb.com/framework/scoop.it-ios-framework-vincent-demay,Objective-C,Independent Developer,https://github.com/vdemay/ScoopItFramework,,
11," Feathers is a framework that enables real-time applications and REST APIs using JavaScript or TypeScript with Node.js. Feathers works with any frontend technology like React, Vue.js, Angular, Android or iOS. Feathers uses services and workflows instead of creating routes, requests or response handlers. This allows developers to work on application logic independently from how it is being accessed in order to automatically provide REST APIs, and WebSocket APIs.",05.24.2016,https://www.programmableweb.com/framework/feathers-node.js-framework-feathers-contributors,Node.js,Independent Developer,https://docs.feathersjs.com/,https://github.com/feathersjs/feathers,
12," The Base PHP SDK by Base integrates customer relationship features into applications. Usage demonstrates how to build a client, interact with architecture, and handle errors.",05.23.2016,https://www.programmableweb.com/framework/base-php-sdk-base,PHP,Base CRM,https://developers.getbase.com/docs/rest/articles/libraries,https://github.com/basecrm/basecrm-php,
13, Hug is a Python Framework created by Timothy Edmund Crosley that is designed to make developing APIs in Python as simple as possible. Hug requires Python 3+ and is provided under the MIT License.,05.20.2016,https://www.programmableweb.com/framework/hug-python-framework-timothy-edmund-crosley,Python,Independent Developer,https://github.com/timothycrosley/hug,,
14," The Pin Payments C# SDK by Pin Payments allows API communication to integrate credit card features into applications. An example available demonstrates a card post charge with its respective description, amount, and currency.",05.17.2016,https://www.programmableweb.com/framework/pin-payments-c-sdk-pin-payments,C#,Pin Payments,https://pin.net.au/docs/languages/csharp,,
15," Cocos2d-x Scala framework intends to offera suite of open-source, cross-platform, game-development tools for developers. The framework focuses on back-end development to allow for more front-end software development.",05.17.2016,https://www.programmableweb.com/framework/cocos2d-scala-framework-cocos2d,Java,Cocos2D-XNA,http://www.cocos2d-x.org/,,
16, The Cocos2d-Pure Swift Objective-C Framework is a free and open source 2D game development framework. It intends to provide node hierarchy for Cocos2d game application development.,05.17.2016,https://www.programmableweb.com/framework/cocos2d-pure-swift-objective-c-framework-cocos2d,Objective-C,Cocos2D-XNA,http://cocos2d-objc.org/,,
17," Blue Trip is a CSS framework that intends to offer web developers a 24 column grid layout, printing stylesheets, and form styling, all with a strong emphasis on typography to build upon for their website development projects.",05.17.2016,https://www.programmableweb.com/framework/blue-trip-css-framework-mike-crittenden,CSS,,https://github.com/mikecrittenden/bluetrip/,,
18," Bootstrap is a Framework for developing web projects with HTML, CSS, and JavaScript. Bootstrap can scale websites and applications across different devices, such as phones and desktops. It is designed for projects of all sizes and developers of all skill levels.",05.17.2016,https://www.programmableweb.com/framework/bootstrap-javascript-framework-mark-otto-and-jacob,"CSS, JavaScript",Independent Developer,http://getbootstrap.com/,https://github.com/twbs/bootstrap,
